Página	Palabra	Significado
311	zozobrante	que peligra una embarcación por la fuerza de los vientos y el mar.
312	morosas	 Que se retrasa en el pago de una deuda o en la devolución de una cosa.
312	empíreo	El Empíreo es en la teología católica medieval el más alto de los cielos. 
322	periplo	Viaje largo por numerosos países.
322	imbuido	Infundir, inculcar a alguien ideas o sentimientos: su padre le imbuyó la pasión por el cine.
322	fin-de-siècle	fin de siglo
322	arbotantes	Estructura en forma de medio arco colocada en la parte exterior de un edificio que transmite el peso de la bóveda hacia los contrafuertes.
322	Jugendstil	Nombre que recibe el estilo modernista alemán, derivado del título de la revista Jugend, fundada en 1896.
327	besugos	Tonto, atontado.
328	duermevela	Sueño ligero.
328	dandy y bon vivant	Persona bohemia o dandy. Cultivar la ociosidad, la elegancia o la extravagancia en el vestir, gustar de la buena mesa y bebida, pueden considerarse rasgos del bon vivant.
328	hedonismo	El hedonismo ? es una doctrina moral que establece la satisfacción como fin superior y fundamento de la vida. 
330	refectorio	Sala en conventos, monasterios y ciertos colegios que se utiliza como comedor común.
331	Vedas	Tiempo durante el cual está prohibido cazar o pescar en un determinado lugar o una determinada especie.
331	Madamina, il catalogo è questo, delle donne ch'amò il padrón mío. Un catalogo eglièche ho fatt'io. Osservate, leggete con me.	Traducción: Madamina, este es el catálogo, de las mujeres que amaron el padrón mío. Un catálogo heèche que hice. Mira, lee conmigo.
331	priápico	Dicho de un hombre: Que tiene una exagerada actividad sexual.
332	conspicuo	Que goza de gran prestigio.
333	affaire	Negocio, asunto o caso ilegal o escandaloso.
336	guiñapo	Ropa o trozo de tela que está rota, sucia y muy gastada.
337	convidado	Persona que ha sido invitada a una celebración o un acontecimiento.
337	hierática	Que es solemne e inexpresivo, se mueve poco y no exterioriza sentimientos.
342	quid	Esencia, razón, porqué de una cosa. 
343	flemático	Que tiene un temperamento apático y se comporta o actúa con tranquilidad excesiva.
343	veleidoso	Que es poco constante en sus actos, gustos o ideas.
346	esnobismo	Actitud de la persona esnob.
348	ápice	Punta o extremo de una cosa; especialmente, de la lengua.
348	impostar	Controlar el nivel y la intensidad de la voz para poder emitir un sonido uniforme y en su plenitud, sin vacilación ni temblor.
349	salomónica	Que pretende dar parte de razón a todos los implicados.
349	deleznables	Que es despreciable y no merece ser tenido en consideración.
353	Vanitas vanitatem	vanidad de vanidades
354	fascismo	Movimiento político y social de carácter totalitario y nacionalista fundado en Italia por Benito Mussolini después de la primera guerra mundial.
358	timorato	Que tiene miedo ante situaciones nuevas.
359	parabienes	Expresión con que se muestra a alguien el deseo de que un hecho o un suceso que le afecta le proporcione felicidad.
361	extático	Que está en éxtasis.
361	obnibulada	es un estado menos severo que el estupor, la persona responde correctamente a las órdenes complejas
364	arisca	Que es áspero y huidizo en el trato.
367	parsimonia	Calma o tranquilidad ceremoniosa con que se hace algo
367	chalado	Que ha perdido el juicio o se comporta como tal.
368	cretenses	Relativo a Creta, isla de Grecia, o a sus habitantes.
369	denuedo	Valor, energía y decisión con que se ejecuta una acción.
370	sibilina	Que es misterioso porque parece que encierra un secreto importante o que puede tener varios significados ocultos.
371	lucubraciones	Pensamiento, reflexión o hipótesis que es producto de la meditación.
375	benigno	Que se caracteriza por mostrar buena voluntad, comprensión y simpatía hacia una persona o un grupo.
379	mohínos	Que está triste, abatido o disgustado.
379	reticencia	Hecho de insinuar o no decir directamente algo, generalmente con intención maliciosa.
379	artero	Astuto, malintencionado.
380	animadversión	criticismo o censura
382	sendos	Establece una relación de uno a uno entre los miembros de un conjunto de dos o más cosas o personas y los de otro conjunto de cosas o personas denotadas por el nombre al cual acompaña.
383	telúrico	Del planeta Tierra o relacionado con él.
388	cohorte	Cuerpo de infantería del ejército de la antigua Roma, compuesto por varias centurias.
389	ubicua	Que está presente en todas partes al mismo tiempo
394	foyer	Un vestíbulo es un espacio o conjunto de cuartos grandes y extensos en un edificio o en una casa y, en particular, en un teatro, ópera, sala de conciertos, feria de muestras, cine, etc., adyacentes al auditorio.
399	opípara	Que es copioso y espléndido.
399	puntillosidad	Dicho de una persona: Que es muy minuciosa y concienzuda, a veces hasta la exageración, en lo que hace.
405	agüero	Señal o indicio que se interpreta como el anuncio de un hecho futuro.
410	a priori	A priori es una locución latina que significa “de lo anterior”. 
412	resuello	Respiración, especialmente violenta o con ruido.
416	vacuo	Que es superficial y carece de contenido o interés.
417	inextricable	Difícil de desenredar; muy intrincado y confuso.
417	primigenia	Relativo al origen o al principio.
417	ménages à trois	es un término que describe un acuerdo doméstico de tres personas para mantener relaciones sexuales y formar un hogar.
417	escindirse	Dividir algo material o inmaterial en dos o más partes, generalmente de importancia o valor semejante.
421	doctas	Que posee muchos conocimientos adquiridos a fuerza de estudio.
421	acuciantes	Que se manifiesta con fuerza, viveza y pasión.
422	asestado	apuntar, dirigir
422	entropía	Magnitud termodinámica que indica el grado de desorden molecular de un sistema
426	hálito	Aliento o aire que sale por la boca al respirar, especialmente cuando arrastra humedad visible.
429	enjuto	Que está muy delgado.
420	oporto	Vino dulce y aromático que se elabora en el municipio portugués de Oporto.
435	ordalía	Prueba a la que eran sometidos los acusados en la Edad Media para averiguar su culpabilidad o inocencia; como las del duelo, el fuego, el hierro candente, etc.
436	locus amoenus	lugar ameno
436	hélas!	¡Pobre de mí!
437	formullismo	Una definición es una proposición o conjunto de proposiciones que exponen de manera unívoca y con precisión la comprensión alcanzada de un concepto
444	celador	Que cela o vigila.
444	herrumbe	Capa de color rojizo que se forma en la superficie del hierro y otros metales a causa de la oxidación provocada por la humedad o el agua.
445	ufano	Que presume de sí mismo o se muestra orgulloso de poseer cierta cosa o de ser algo.
448	rara avis	raras opiniones
450	temerida	Comportamiento o actitud de la persona temeraria.
452	dilaciones	Retraso en un proceso o actividad.
453	barbarie	Actitud de la persona o grupo que actúan fuera de las normas de cultura, en especial de carácter ético, y son salvajes, crueles o faltos de compasión hacia la vida o la dignidad de los demás.
453	coûte que coûte	cueste lo que cueste
454	centralitas	 es un equipo privado que permite gestionar llamadas telefónicas internas
455	renquea	Andar una persona coja por tener una lesión en la cadera renquea a raíz del accidente.
456	soterrados	Soterramiento es un término asociado al verbo soterrar. Esta acción consiste en llevar algo debajo de la superficie para ocultarlo o para permitir que se desarrolle enterrado.
463	marcial	Propio de la guerra o del ejército.
472	ad infinitum	hasta el infinito
473	diáfana	Que deja pasar la luz a través de sí casi en su totalidad.
482	protectorado	Soberanía parcial que un estado ejerce sobre un territorio que no está incorporado por completo a esa nación y que posee autoridades propias.
484	misivas	Carta que se envía a una persona para informarle de algo.
493	hecatombe	Sacrificio religioso solemne con gran número de víctimas.
493	postrer	último
594	sacristía	Habitación aneja a una iglesia donde se guardan las ropas y objetos necesarios para el culto y donde los sacerdotes se revisten.
501	frenología	Teoría médica del siglo XIX según la cual cada instinto o facultad mental radica en una zona precisa del cerebro que se corresponde con un determinado relieve del cráneo.
501	eugenésica	1. Aplicación de las leyes biológicas de la herencia al perfeccionamiento de la especie humana.
502	logias	Asamblea o reunión celebrada por esa asociación.
